Keyword "import" line 1, position 1
Identifier "java" line 1, position 8
Separator "." line 1, position 12
Identifier "util" line 1, position 13
Separator "." line 1, position 17
Operator "*" line 1, position 18
Separator ";" line 1, position 19
Modifier "public" line 1, position 20
Keyword "class" line 1, position 27
Identifier "Main" line 1, position 33
Separator "{" line 1, position 37
Modifier "public" line 1, position 38
Modifier "static" line 1, position 45
Keyword "void" line 1, position 52
Identifier "main" line 1, position 57
Separator "(" line 1, position 61
Identifier "String" line 1, position 62
Separator "[" line 1, position 68
Separator "]" line 1, position 69
Identifier "a" line 1, position 70
Separator ")" line 1, position 71
Separator "{" line 1, position 72
Identifier "Scanner" line 1, position 73
Identifier "s" line 1, position 81
Operator "=" line 1, position 82
Keyword "new" line 1, position 83
Identifier "Scanner" line 1, position 87
Separator "(" line 1, position 94
Identifier "System" line 1, position 95
Separator "." line 1, position 101
Identifier "in" line 1, position 102
Separator ")" line 1, position 104
Separator ";" line 1, position 105
Keyword "for" line 1, position 106
Separator "(" line 1, position 109
BasicType "int" line 1, position 110
Identifier "t" line 1, position 114
Operator "=" line 1, position 115
Identifier "s" line 1, position 116
Separator "." line 1, position 117
Identifier "nextInt" line 1, position 118
Separator "(" line 1, position 125
Separator ")" line 1, position 126
Separator ";" line 1, position 127
Identifier "t" line 1, position 128
Operator "--" line 1, position 129
Operator ">" line 1, position 131
DecimalInteger "0" line 1, position 132
Separator ";" line 1, position 133
Separator ")" line 1, position 134
Separator "{" line 1, position 135
BasicType "int" line 1, position 136
Separator "[" line 1, position 139
Separator "]" line 1, position 140
Identifier "l" line 1, position 141
Operator "=" line 1, position 142
Keyword "new" line 1, position 143
BasicType "int" line 1, position 147
Separator "[" line 1, position 150
DecimalInteger "3" line 1, position 151
Separator "]" line 1, position 152
Separator ";" line 1, position 153
Keyword "for" line 1, position 154
Separator "(" line 1, position 157
BasicType "int" line 1, position 158
Identifier "i" line 1, position 162
Operator "=" line 1, position 163
DecimalInteger "0" line 1, position 164
Separator ";" line 1, position 165
Identifier "i" line 1, position 166
Operator "<" line 1, position 167
DecimalInteger "3" line 1, position 168
Separator ";" line 1, position 169
Identifier "i" line 1, position 170
Operator "++" line 1, position 171
Separator ")" line 1, position 173
Identifier "l" line 1, position 174
Separator "[" line 1, position 175
Identifier "i" line 1, position 176
Separator "]" line 1, position 177
Operator "=" line 1, position 178
Identifier "s" line 1, position 179
Separator "." line 1, position 180
Identifier "nextInt" line 1, position 181
Separator "(" line 1, position 188
Separator ")" line 1, position 189
Separator ";" line 1, position 190
Identifier "Arrays" line 1, position 191
Separator "." line 1, position 197
Identifier "sort" line 1, position 198
Separator "(" line 1, position 202
Identifier "l" line 1, position 203
Separator ")" line 1, position 204
Separator ";" line 1, position 205
Identifier "System" line 1, position 206
Separator "." line 1, position 212
Identifier "out" line 1, position 213
Separator "." line 1, position 216
Identifier "println" line 1, position 217
Separator "(" line 1, position 224
Identifier "l" line 1, position 225
Separator "[" line 1, position 226
DecimalInteger "0" line 1, position 227
Separator "]" line 1, position 228
Operator "*" line 1, position 229
Identifier "l" line 1, position 230
Separator "[" line 1, position 231
DecimalInteger "0" line 1, position 232
Separator "]" line 1, position 233
Operator "+" line 1, position 234
Identifier "l" line 1, position 235
Separator "[" line 1, position 236
DecimalInteger "1" line 1, position 237
Separator "]" line 1, position 238
Operator "*" line 1, position 239
Identifier "l" line 1, position 240
Separator "[" line 1, position 241
DecimalInteger "1" line 1, position 242
Separator "]" line 1, position 243
Operator "==" line 1, position 244
Identifier "l" line 1, position 246
Separator "[" line 1, position 247
DecimalInteger "2" line 1, position 248
Separator "]" line 1, position 249
Operator "*" line 1, position 250
Identifier "l" line 1, position 251
Separator "[" line 1, position 252
DecimalInteger "2" line 1, position 253
Separator "]" line 1, position 254
Operator "?" line 1, position 255
String ""YES"" line 1, position 256
Operator ":" line 1, position 261
String ""NO"" line 1, position 262
Separator ")" line 1, position 266
Separator ";" line 1, position 267
Separator "}" line 1, position 268
Separator "}" line 1, position 269
Separator "}" line 1, position 270
