Keyword "import" line 1, position 1
Identifier "java" line 1, position 8
Separator "." line 1, position 12
Identifier "util" line 1, position 13
Separator "." line 1, position 17
Operator "*" line 1, position 18
Separator ";" line 1, position 19
Modifier "public" line 3, position 1
Keyword "class" line 3, position 8
Identifier "Main" line 3, position 14
Separator "{" line 3, position 19
Modifier "public" line 5, position 5
Modifier "static" line 5, position 12
Keyword "void" line 5, position 19
Identifier "main" line 5, position 24
Separator "(" line 5, position 28
Identifier "String" line 5, position 29
Separator "[" line 5, position 35
Separator "]" line 5, position 36
Identifier "args" line 5, position 38
Separator ")" line 5, position 42
Separator "{" line 5, position 44
BasicType "int" line 8, position 9
Identifier "count" line 8, position 13
Operator "=" line 8, position 19
DecimalInteger "0" line 8, position 21
Separator ";" line 8, position 22
BasicType "boolean" line 9, position 9
Identifier "sw" line 9, position 17
Operator "=" line 9, position 20
Boolean "false" line 9, position 22
Separator ";" line 9, position 27
BasicType "int" line 10, position 9
Identifier "max" line 10, position 13
Operator "=" line 10, position 17
Identifier "Integer" line 10, position 19
Separator "." line 10, position 26
Identifier "MIN_VALUE" line 10, position 27
Separator ";" line 10, position 36
BasicType "int" line 11, position 9
Identifier "min" line 11, position 13
Operator "=" line 11, position 17
Identifier "Integer" line 11, position 19
Separator "." line 11, position 26
Identifier "MAX_VALUE" line 11, position 27
Separator ";" line 11, position 36
BasicType "double" line 12, position 9
Identifier "dMax" line 12, position 16
Operator "=" line 12, position 21
Identifier "Double" line 12, position 23
Separator "." line 12, position 29
Identifier "MIN_VALUE" line 12, position 30
Separator ";" line 12, position 39
BasicType "double" line 13, position 9
Identifier "dMin" line 13, position 16
Operator "=" line 13, position 21
Identifier "Double" line 13, position 23
Separator "." line 13, position 29
Identifier "MAX_VALUE" line 13, position 30
Separator ";" line 13, position 39
Identifier "Scanner" line 19, position 9
Identifier "sc" line 19, position 17
Operator "=" line 19, position 20
Keyword "new" line 19, position 22
Identifier "Scanner" line 19, position 26
Separator "(" line 19, position 33
Identifier "System" line 19, position 34
Separator "." line 19, position 40
