# coding: utf-8 (Token.Comment.Single)
# Your code here! (Token.Comment.Single)
import (Token.Keyword.Namespace)
math (Token.Name.Namespace)
r (Token.Name)
= (Token.Operator)
float (Token.Name.Builtin)
( (Token.Punctuation)
input (Token.Name.Builtin)
( (Token.Punctuation)
) (Token.Punctuation)
) (Token.Punctuation)
S (Token.Name)
= (Token.Operator)
r (Token.Name)
* (Token.Operator)
r (Token.Name)
* (Token.Operator)
( (Token.Punctuation)
math (Token.Name)
. (Token.Operator)
pi (Token.Name)
) (Token.Punctuation)
R (Token.Name)
= (Token.Operator)
2 (Token.Literal.Number.Integer)
* (Token.Operator)
r (Token.Name)
* (Token.Operator)
( (Token.Punctuation)
math (Token.Name)
. (Token.Operator)
pi (Token.Name)
) (Token.Punctuation)
print (Token.Name.Builtin)
( (Token.Punctuation)
" (Token.Literal.String.Double)
{0:.6f} (Token.Literal.String.Interpol)
" (Token.Literal.String.Double)
. (Token.Operator)
format (Token.Name)
( (Token.Punctuation)
S (Token.Name)
) (Token.Punctuation)
, (Token.Punctuation)
" (Token.Literal.String.Double)
{0:.6f} (Token.Literal.String.Interpol)
" (Token.Literal.String.Double)
. (Token.Operator)
format (Token.Name)
( (Token.Punctuation)
R (Token.Name)
) (Token.Punctuation)
) (Token.Punctuation)
