#!/usr/bin/env python (Token.Comment.Hashbang)
# coding: utf-8 (Token.Comment.Single)
import (Token.Keyword.Namespace)
math (Token.Name.Namespace)
def (Token.Keyword)
main (Token.Name.Function)
( (Token.Punctuation)
) (Token.Punctuation)
: (Token.Punctuation)
r (Token.Name)
= (Token.Operator)
float (Token.Name.Builtin)
( (Token.Punctuation)
raw_input (Token.Name)
( (Token.Punctuation)
) (Token.Punctuation)
) (Token.Punctuation)
print (Token.Name.Builtin)
round (Token.Name.Builtin)
( (Token.Punctuation)
math (Token.Name)
. (Token.Operator)
pi (Token.Name)
* (Token.Operator)
math (Token.Name)
. (Token.Operator)
pow (Token.Name)
( (Token.Punctuation)
r (Token.Name)
, (Token.Punctuation)
2 (Token.Literal.Number.Integer)
) (Token.Punctuation)
, (Token.Punctuation)
6 (Token.Literal.Number.Integer)
) (Token.Punctuation)
, (Token.Punctuation)
round (Token.Name.Builtin)
( (Token.Punctuation)
math (Token.Name)
. (Token.Operator)
pi (Token.Name)
* (Token.Operator)
2 (Token.Literal.Number.Integer)
* (Token.Operator)
r (Token.Name)
, (Token.Punctuation)
6 (Token.Literal.Number.Integer)
) (Token.Punctuation)
if (Token.Keyword)
__name__ (Token.Name.Variable.Magic)
== (Token.Operator)
' (Token.Literal.String.Single)
__main__ (Token.Literal.String.Single)
' (Token.Literal.String.Single)
: (Token.Punctuation)
main (Token.Name)
( (Token.Punctuation)
) (Token.Punctuation)
