while (Token.Keyword)
1 (Token.Literal.Number.Integer)
: (Token.Punctuation)
list (Token.Name.Builtin)
= (Token.Operator)
raw_input (Token.Name)
( (Token.Punctuation)
) (Token.Punctuation)
. (Token.Operator)
split (Token.Name)
( (Token.Punctuation)
) (Token.Punctuation)
x (Token.Name)
= (Token.Operator)
int (Token.Name.Builtin)
( (Token.Punctuation)
list (Token.Name.Builtin)
[ (Token.Punctuation)
0 (Token.Literal.Number.Integer)
] (Token.Punctuation)
) (Token.Punctuation)
+ (Token.Operator)
int (Token.Name.Builtin)
( (Token.Punctuation)
list (Token.Name.Builtin)
[ (Token.Punctuation)
1 (Token.Literal.Number.Integer)
] (Token.Punctuation)
) (Token.Punctuation)
print (Token.Name.Builtin)
" (Token.Literal.String.Double)
%d (Token.Literal.String.Interpol)
" (Token.Literal.String.Double)
% (Token.Operator)
len (Token.Name.Builtin)
( (Token.Punctuation)
str (Token.Name.Builtin)
( (Token.Punctuation)
x (Token.Name)
) (Token.Punctuation)
) (Token.Punctuation)
